algorithm_name,env_n,size,best_solution,H,states,time
HCR,24,8,"[1, 6, 2, 5, 7, 4, 0, 3]",0,1125,0.004986
SA,24,8,"[1, 6, 2, 5, 7, 4, 0, 3]",0,368,0.001995
GA,24,8,"[4, 6, 1, 3, 7, 0, 2, 5]",0,4,0.009231
random,25,8,"[7, 2, 4, 6, 0, 5, 3, 1]",1,20000,0.152936
HC,25,8,"[6, 1, 3, 5, 7, 2, 4, 0]",1,225,0.001087
HCR,25,8,"[5, 3, 6, 0, 2, 4, 1, 7]",0,1181,0.005149
SA,25,8,"[0, 4, 7, 5, 2, 6, 1, 3]",0,321,0.002062
GA,25,8,"[2, 4, 1, 7, 0, 6, 3, 5]",0,7,0.026508
random,26,8,"[1, 5, 0, 2, 7, 4, 6, 3]",1,20000,0.143272
HC,26,8,"[1, 4, 6, 0, 2, 7, 5, 3]",0,225,0.001446
HCR,26,8,"[1, 4, 6, 0, 2, 7, 5, 3]",0,225,0.001350
SA,26,8,"[3, 0, 7, 5, 2, 0, 6, 4]",1,4606,0.034450
GA,26,8,"[2, 0, 6, 3, 1, 4, 7, 5]",1,20000,42.091850
random,27,8,"[5, 7, 5, 0, 2, 4, 6, 3]",1,20000,0.138790
HC,27,8,"[7, 0, 6, 3, 1, 6, 4, 2]",1,281,0.001449
HCR,27,8,"[1, 4, 6, 3, 0, 7, 5, 2]",0,2924,0.012742
SA,27,8,"[5, 2, 6, 3, 0, 7, 1, 4]",0,858,0.013540
GA,27,8,"[7, 3, 0, 2, 5, 1, 6, 4]",0,4936,9.935888
random,28,8,"[0, 3, 6, 2, 7, 1, 4, 0]",1,20000,0.142529
HC,28,8,"[1, 4, 5, 0, 2, 7, 6, 3]",2,225,0.001454
HCR,28,8,"[3, 1, 7, 5, 0, 2, 4, 6]",0,1406,0.007293
SA,28,8,"[0, 6, 3, 5, 7, 1, 4, 2]",0,54,0.000000
GA,28,8,"[6, 3, 1, 7, 5, 0, 2, 4]",0,49,0.106611
random,29,8,"[6, 3, 6, 0, 7, 4, 1, 5]",1,20000,0.144778
HC,29,8,"[3, 7, 4, 1, 5, 0, 6, 0]",1,225,0.001096
HCR,29,8,"[2, 6, 1, 7, 5, 3, 0, 4]",0,1800,0.011838
SA,29,8,"[4, 6, 1, 5, 2, 0, 3, 7]",0,961,0.004986
GA,29,8,"[5, 1, 6, 0, 3, 7, 4, 2]",0,6,0.012708
random,0,10,"[8, 1, 1, 9, 7, 0, 3, 6, 9, 5]",3,20000,0.216412
HC,0,10,"[3, 9, 0, 4, 8, 0, 6, 1, 7, 5]",2,451,0.003061
HCR,0,10,"[3, 5, 7, 1, 4, 0, 8, 6, 9, 2]",0,10464,0.080230
SA,0,10,"[4, 7, 0, 8, 6, 1, 9, 2, 5, 3]",0,4062,0.033213
GA,0,10,"[6, 2, 9, 5, 1, 8, 4, 0, 7, 3]",0,20,0.063420
random,1,10,"[2, 7, 1, 6, 8, 0, 4, 0, 5, 9]",1,20000,0.193333
HC,1,10,"[2, 9, 5, 8, 1, 4, 7, 0, 6, 3]",1,541,0.003309
HCR,1,10,"[8, 1, 3, 7, 0, 2, 5, 9, 6, 4]",0,4782,0.032575
SA,1,10,"[8, 4, 2, 7, 9, 1, 5, 0, 6, 3]",0,2585,0.020460
GA,1,10,"[7, 2, 6, 1, 9, 0, 0, 4, 8, 5]",1,20000,60.489920
random,2,10,"[4, 2, 8, 3, 9, 6, 5, 2, 0, 7]",3,20000,0.195539
HC,2,10,"[0, 6, 1, 5, 2, 8, 4, 8, 3, 9]",3,361,0.003224
HCR,2,10,"[5, 7, 4, 1, 8, 2, 9, 6, 3, 0]",0,5231,0.035495
SA,2,10,"[4, 1, 8, 0, 2, 7, 9, 6, 3, 5]",0,666,0.005078
GA,2,10,"[7, 0, 4, 1, 5, 9, 6, 3, 0, 2]",1,20000,58.988757
random,3,10,"[3, 6, 0, 5, 8, 1, 7, 2, 2, 9]",1,20000,0.198665
HC,3,10,"[3, 6, 8, 2, 0, 9, 7, 4, 1, 9]",1,361,0.002058
HCR,3,10,"[7, 3, 1, 6, 4, 9, 0, 8, 5, 2]",0,6224,0.043787
SA,3,10,"[5, 3, 8, 0, 2, 9, 6, 1, 7, 4]",0,997,0.009094
GA,3,10,"[4, 7, 5, 2, 9, 1, 6, 8, 3, 0]",0,527,1.604667
random,4,10,"[2, 8, 6, 8, 1, 5, 0, 0, 4, 7]",2,20000,0.202817
HC,4,10,"[0, 5, 1, 9, 7, 2, 8, 3, 0, 4]",1,631,0.004427
HCR,4,10,"[6, 3, 5, 7, 9, 0, 2, 4, 1, 8]",0,1623,0.012602
SA,4,10,"[6, 9, 2, 4, 8, 0, 3, 1, 7, 5]",0,1924,0.021635
GA,4,10,"[2, 5, 9, 0, 3, 3, 6, 8, 1, 4]",1,20000,59.260284
random,5,10,"[8, 4, 0, 0, 9, 5, 1, 2, 7, 3]",2,20000,0.193427
HC,5,10,"[9, 4, 6, 8, 0, 7, 3, 0, 2, 1]",3,181,0.002334
HCR,5,10,"[6, 4, 7, 0, 3, 5, 8, 1, 9, 2]",0,1083,0.007165
SA,5,10,"[6, 4, 0, 5, 8, 2, 7, 3, 1, 9]",0,405,0.003141
GA,5,10,"[7, 5, 1, 8, 0, 3, 6, 9, 2, 4]",0,21,0.068940
random,6,10,"[1, 8, 2, 7, 3, 0, 9, 1, 6, 2]",2,20000,0.201274
HC,6,10,"[3, 1, 7, 4, 8, 0, 2, 9, 7, 5]",2,271,0.002290
HCR,6,10,"[5, 1, 9, 6, 8, 2, 0, 3, 7, 4]",0,5775,0.039628
SA,6,10,"[4, 7, 1, 6, 9, 2, 0, 8, 3, 5]",0,2428,0.019465
GA,6,10,"[5, 7, 0, 7, 3, 6, 8, 2, 4, 9]",1,20000,61.086028
random,7,10,"[2, 6, 1, 9, 4, 7, 0, 8, 3, 5]",2,20000,0.197344
HC,7,10,"[2, 0, 6, 3, 1, 8, 1, 5, 9, 0]",2,361,0.003297
HCR,7,10,"[0, 4, 7, 9, 2, 6, 1, 3, 5, 8]",0,902,0.006107
